batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_runs_x,crr,rrr,results
Chennai Super Kings,Delhi Capitals,Delhi,130,81,10,179,7.54,9.63,1
Kolkata Knight Riders,Rajasthan Royals,Cape Town,88,68,8,151,7.27,7.76,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,165,110,9,172,4.2,9.0,0
Delhi Capitals,Chennai Super Kings,Chennai,27,25,6,113,5.43,6.48,0
Kolkata Knight Riders,Delhi Capitals,Kolkata,59,57,9,161,9.71,6.21,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,156,104,10,188,12.0,9.0,0
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,97,62,6,149,5.38,9.39,1
Chennai Super Kings,Mumbai Indians,Mumbai,110,75,9,158,6.4,8.8,1
Kings XI Punjab,Delhi Capitals,Delhi,76,69,8,165,10.47,6.61,1
Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,25,14,5,162,7.75,10.71,0
Delhi Capitals,Chennai Super Kings,Pune,144,67,6,219,8.49,12.9,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,37,17,6,168,7.63,13.06,0
Sunrisers Hyderabad,Kings XI Punjab,Johannesburg,110,106,10,135,10.71,6.23,0
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,47,57,9,143,9.14,4.95,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,80,51,7,185,9.13,9.41,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,209,101,8,223,4.42,12.42,0
Kings XI Punjab,Sunrisers Hyderabad,Dharamsala,97,27,4,199,6.58,21.56,0
Royal Challengers Bangalore,Kings XI Punjab,Mohali,149,103,10,181,11.29,8.68,1
Kings XI Punjab,Chennai Super Kings,Mohali,173,118,10,173,0.0,8.8,1
Rajasthan Royals,Mumbai Indians,Mumbai,164,116,10,178,21.0,8.48,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,112,66,7,178,7.33,10.18,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,92,31,4,196,7.01,17.81,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,80,61,7,156,7.73,7.87,0
Rajasthan Royals,Kings XI Punjab,Cape Town,38,11,3,140,5.61,20.73,0
Delhi Capitals,Rajasthan Royals,Mumbai,159,100,9,190,9.3,9.54,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,139,96,8,158,4.75,8.69,0
Rajasthan Royals,Kings XI Punjab,Jaipur,90,91,10,154,13.24,5.93,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,198,98,9,224,7.09,12.12,0
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,150,90,9,198,9.6,10.0,0
Royal Challengers Bangalore,Delhi Capitals,Bangalore,138,83,10,184,7.46,9.98,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,158,93,9,191,7.33,10.19,1
Delhi Capitals,Kolkata Knight Riders,Delhi,165,96,9,194,7.25,10.31,1
Royal Challengers Bangalore,Delhi Capitals,Sharjah,7,22,8,146,8.51,1.91,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,96,84,10,144,8.0,6.86,1
Delhi Capitals,Mumbai Indians,Mumbai,116,70,9,174,6.96,9.94,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,66,24,5,179,7.06,16.5,0
Kings XI Punjab,Mumbai Indians,Mumbai,61,33,3,175,7.86,11.09,0
Kolkata Knight Riders,Kings XI Punjab,Pune,43,35,5,156,7.98,7.37,1
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,37,18,6,139,6.0,12.33,1
Chennai Super Kings,Mumbai Indians,Mumbai,23,5,1,165,7.41,27.6,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,154,101,9,172,5.68,9.15,0
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,98,72,9,143,5.62,8.17,1
Mumbai Indians,Kolkata Knight Riders,Abu Dhabi,141,94,10,164,5.31,9.0,0
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,101,67,8,163,7.02,9.04,0
Kolkata Knight Riders,Delhi Capitals,Delhi,110,85,10,161,8.74,7.76,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,94,115,10,98,4.8,4.9,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,228,116,10,231,4.5,11.79,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,77,60,8,150,7.3,7.7,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,43,35,8,143,7.06,7.37,1
Rajasthan Royals,Mumbai Indians,Mumbai,100,94,10,134,7.85,6.38,1
Mumbai Indians,Kings XI Punjab,Mumbai,156,80,7,178,3.3,11.7,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,37,70,8,98,7.32,3.17,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,117,74,9,201,10.96,9.49,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,56,24,6,182,7.88,14.0,1
Chennai Super Kings,Kolkata Knight Riders,Chennai,103,114,10,115,12.0,5.42,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,40,49,8,131,7.69,4.9,1
Chennai Super Kings,Rajasthan Royals,Kimberley,130,107,10,141,5.08,7.29,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,106,83,10,143,6.0,7.66,1
Royal Challengers Bangalore,Delhi Capitals,Delhi,87,50,7,192,9.0,10.44,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,70,79,10,114,6.44,5.32,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,173,116,10,185,18.0,8.95,1
Kolkata Knight Riders,Mumbai Indians,Mumbai,12,2,4,188,8.95,36.0,0
Kings XI Punjab,Chennai Super Kings,Mohali,50,52,8,173,10.85,5.77,1
Mumbai Indians,Chennai Super Kings,Mumbai,128,101,10,157,9.16,7.6,1
Kings XI Punjab,Mumbai Indians,Mohali,181,110,10,188,4.2,9.87,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,50,23,5,164,7.05,13.04,0
Delhi Capitals,Mumbai Indians,East London,46,34,8,117,4.95,8.12,0
Sunrisers Hyderabad,Kings XI Punjab,Dharamsala,158,110,9,175,10.2,8.62,0
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,52,17,7,169,6.82,18.35,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,48,35,7,159,7.84,8.23,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,145,84,9,211,11.0,10.36,1
Chennai Super Kings,Rajasthan Royals,Ahmedabad,162,103,10,178,5.65,9.44,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,56,28,8,186,8.48,12.0,1
Rajasthan Royals,Royal Challengers Bangalore,Cape Town,94,57,5,134,3.81,9.89,0
Delhi Capitals,Kings XI Punjab,Chandigarh,114,77,10,182,9.49,8.88,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,105,93,10,148,9.56,6.77,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,177,113,10,186,7.71,9.4,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,183,110,10,190,4.2,9.98,1
Chennai Super Kings,Delhi Capitals,Durban,88,61,8,190,10.37,8.66,0
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,49,14,7,169,6.79,21.0,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,91,76,6,134,5.86,7.18,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,61,58,10,134,7.06,6.31,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,77,61,8,150,7.42,7.57,1
Royal Challengers Bangalore,Chennai Super Kings,Chennai,204,115,9,206,2.4,10.64,0
Rajasthan Royals,Kings XI Punjab,Jaipur,69,31,8,201,8.9,13.35,0
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,100,64,7,176,8.14,9.38,0
Kings XI Punjab,Delhi Capitals,Chandigarh,97,78,8,159,8.86,7.46,1
Chennai Super Kings,Kings XI Punjab,Cuttack,159,65,8,232,7.96,14.68,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,98,77,9,140,5.86,7.64,1
Chennai Super Kings,Sunrisers Hyderabad,Chennai,189,117,10,191,4.0,9.69,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,138,90,7,165,5.4,9.2,0
Delhi Capitals,Sunrisers Hyderabad,Cuttack,138,99,10,172,9.71,8.36,0
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,14,11,7,151,7.54,7.64,0
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,60,55,8,147,8.03,6.55,1
Sunrisers Hyderabad,Chennai Super Kings,Ranchi,108,70,10,186,9.36,9.26,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,50,44,7,124,5.84,6.82,1
Kings XI Punjab,Mumbai Indians,Mumbai,84,54,5,175,8.27,9.33,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,34,43,8,133,7.71,4.74,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,44,70,8,82,4.56,3.77,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,21,34,6,127,7.4,3.71,1
Delhi Capitals,Mumbai Indians,Visakhapatnam,96,23,3,207,6.87,25.04,0
Rajasthan Royals,Delhi Capitals,Delhi,110,71,8,204,11.51,9.3,0
Kings XI Punjab,Sunrisers Hyderabad,Kimberley,113,77,8,169,7.81,8.81,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,135,68,6,179,5.08,11.91,0
Delhi Capitals,Royal Challengers Bangalore,Bengaluru,73,66,8,155,9.11,6.64,1
Delhi Capitals,Chennai Super Kings,Delhi,137,81,6,170,5.08,10.15,0
Kolkata Knight Riders,Rajasthan Royals,Cape Town,113,86,9,151,6.71,7.88,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,41,25,6,166,7.89,9.84,1
Delhi Capitals,Sunrisers Hyderabad,Cuttack,110,77,9,172,8.65,8.57,0
Chennai Super Kings,Rajasthan Royals,Ahmedabad,108,76,9,178,9.55,8.53,0
Chennai Super Kings,Delhi Capitals,Chennai,28,47,9,115,7.15,3.57,1
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,109,97,8,147,9.91,6.74,1
Kings XI Punjab,Rajasthan Royals,Jaipur,58,23,5,162,6.43,15.13,0
Delhi Capitals,Rajasthan Royals,Jaipur,81,85,9,142,10.46,5.72,0
Kolkata Knight Riders,Delhi Capitals,Delhi,99,46,6,178,6.41,12.91,0
Rajasthan Royals,Sunrisers Hyderabad,Kimberley,124,73,7,167,5.49,10.19,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,103,86,10,167,11.29,7.19,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,172,110,10,176,2.4,9.38,0
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,107,42,5,188,6.23,15.29,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,52,16,6,220,9.69,19.5,0
Chennai Super Kings,Sunrisers Hyderabad,Chennai,132,66,6,191,6.56,12.0,0
Royal Challengers Bangalore,Chennai Super Kings,Port Elizabeth,126,64,5,180,5.79,11.81,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,72,55,9,138,6.09,7.85,1
Delhi Capitals,Chennai Super Kings,Chennai,46,41,9,170,9.42,6.73,0
Rajasthan Royals,Mumbai Indians,Mumbai,159,112,9,178,14.25,8.52,1
Sunrisers Hyderabad,Chennai Super Kings,East London,125,82,7,179,8.53,9.15,0
Rajasthan Royals,Kings XI Punjab,Chandigarh,77,24,4,180,6.44,19.25,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,89,73,8,130,5.23,7.32,0
Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,167,107,10,174,3.23,9.36,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,143,105,10,166,9.2,8.17,1
Chennai Super Kings,Delhi Capitals,Delhi,112,66,10,179,7.44,10.18,1
Royal Challengers Bangalore,Delhi Capitals,Johannesburg,83,62,9,135,5.38,8.03,1
Rajasthan Royals,Kings XI Punjab,Jaipur,46,17,6,201,9.03,16.24,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,40,21,7,186,8.85,11.43,1
Chennai Super Kings,Kings XI Punjab,Chennai,91,67,8,157,7.47,8.15,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,11,2,2,174,8.29,33.0,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,43,69,8,82,4.59,3.74,1
Sunrisers Hyderabad,Chennai Super Kings,Durban,118,102,10,166,16.0,6.94,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,19,17,7,184,9.61,6.71,1
Delhi Capitals,Kolkata Knight Riders,Durban,82,65,9,155,7.96,7.57,0
Delhi Capitals,Kings XI Punjab,Pune,47,30,8,166,7.93,9.4,0
Rajasthan Royals,Kings XI Punjab,Mohali,49,19,6,191,8.44,15.47,0
Chennai Super Kings,Rajasthan Royals,Chennai,125,64,8,212,9.32,11.72,0
Delhi Capitals,Chennai Super Kings,Chennai,53,50,6,113,5.14,6.36,0
Kings XI Punjab,Delhi Capitals,Bloemfontein,107,109,10,121,7.64,5.89,1
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,104,53,7,191,7.79,11.77,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,64,48,7,165,8.42,8.0,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,84,48,7,179,7.92,10.5,1
Kolkata Knight Riders,Delhi Capitals,Delhi,127,99,10,154,7.71,7.7,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,129,91,10,165,7.45,8.51,1
Mumbai Indians,Sunrisers Hyderabad,Durban,83,54,8,169,7.82,9.22,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,96,65,9,158,6.76,8.86,1
Rajasthan Royals,Delhi Capitals,Delhi,70,36,6,185,8.21,11.67,1
Mumbai Indians,Delhi Capitals,Delhi,196,110,9,208,7.2,10.69,0
Rajasthan Royals,Chennai Super Kings,Chennai,47,22,5,158,6.8,12.82,0
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,149,101,10,176,8.53,8.85,0
Mumbai Indians,Kings XI Punjab,Centurion,45,58,8,120,7.26,4.66,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,113,25,3,224,7.01,27.12,0
Rajasthan Royals,Kings XI Punjab,Mohali,190,117,10,191,2.0,9.74,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,129,87,9,170,7.45,8.9,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,126,73,9,172,5.87,10.36,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,163,95,9,194,7.44,10.29,0
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,93,54,7,187,8.55,10.33,1
Delhi Capitals,Mumbai Indians,Delhi,167,113,10,175,6.86,8.87,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,137,52,7,220,7.32,15.81,0
Sunrisers Hyderabad,Delhi Capitals,Delhi,141,87,9,191,9.09,9.72,1
Sunrisers Hyderabad,Chennai Super Kings,Mumbai,81,40,5,143,4.65,12.15,0
Delhi Capitals,Royal Challengers Bangalore,Delhi,160,105,10,184,9.6,9.14,0
Rajasthan Royals,Chennai Super Kings,Jaipur,24,54,9,110,7.82,2.67,1
Kolkata Knight Riders,Mumbai Indians,East London,94,65,8,149,6.0,8.68,0
Sunrisers Hyderabad,Kings XI Punjab,Johannesburg,43,18,5,135,5.41,14.33,0
Rajasthan Royals,Chennai Super Kings,Chennai,84,51,7,158,6.43,9.88,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Cape Town,129,63,7,185,5.89,12.29,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,76,12,5,191,6.39,38.0,0
Chennai Super Kings,Delhi Capitals,Visakhapatnam,15,19,7,156,8.38,4.74,1
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,52,33,7,206,10.62,9.45,1
Chennai Super Kings,Kings XI Punjab,Mohali,135,77,7,199,8.93,10.52,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,63,31,6,170,7.21,12.19,0
Sunrisers Hyderabad,Chennai Super Kings,Visakhapatnam,142,74,8,194,6.78,11.51,0
Chennai Super Kings,Mumbai Indians,Mumbai,93,47,7,177,6.9,11.87,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,39,42,7,127,6.77,5.57,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,158,108,10,171,6.5,8.78,1
Rajasthan Royals,Mumbai Indians,Mumbai,158,101,10,188,9.47,9.39,0
Delhi Capitals,Sunrisers Hyderabad,Centurion,94,74,7,149,7.17,7.62,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,134,106,10,141,3.0,7.58,0
Rajasthan Royals,Mumbai Indians,Mumbai,66,42,9,178,8.62,9.43,1
Delhi Capitals,Kolkata Knight Riders,Johannesburg,92,94,10,124,7.38,5.87,0
Kolkata Knight Riders,Royal Challengers Bangalore,Ranchi,30,26,7,116,5.49,6.92,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,25,12,6,197,9.56,12.5,1
Delhi Capitals,Rajasthan Royals,Mumbai,170,98,9,193,6.27,10.41,0
Kolkata Knight Riders,Mumbai Indians,Mumbai,135,83,8,188,8.59,9.76,0
Kolkata Knight Riders,Rajasthan Royals,Durban,92,106,8,102,4.29,5.21,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,32,29,5,156,8.18,6.62,1
Sunrisers Hyderabad,Chennai Super Kings,Durban,166,119,10,166,0.0,8.37,0
Chennai Super Kings,Mumbai Indians,Mumbai,30,21,7,158,7.76,8.57,1
Kings XI Punjab,Rajasthan Royals,Ahmedabad,182,103,9,192,3.53,10.6,1
Kings XI Punjab,Mumbai Indians,Mohali,187,116,10,188,1.5,9.67,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,44,50,9,144,8.57,5.28,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,187,75,4,227,5.33,14.96,0
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,61,42,9,184,9.46,8.71,1
Chennai Super Kings,Mumbai Indians,Mumbai,69,71,8,184,14.08,5.83,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,18,68,10,93,8.65,1.59,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,130,107,10,143,6.0,7.29,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,98,112,10,112,10.5,5.25,1
Mumbai Indians,Royal Challengers Bangalore,Chennai,76,26,3,186,7.02,17.54,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,42,26,8,180,8.81,9.69,1
Delhi Capitals,Kings XI Punjab,Delhi,25,11,4,158,7.32,13.64,0
Kings XI Punjab,Rajasthan Royals,Jaipur,181,115,10,192,13.2,9.44,0
Rajasthan Royals,Mumbai Indians,Jaipur,141,83,7,175,5.51,10.19,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,200,114,10,205,5.0,10.53,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,53,59,10,131,7.67,5.39,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,89,59,10,161,7.08,9.05,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,52,23,4,172,7.42,13.57,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,168,72,7,224,7.0,14.0,0
Sunrisers Hyderabad,Chennai Super Kings,Durban,139,108,10,166,13.5,7.72,0
Kolkata Knight Riders,Delhi Capitals,Delhi,37,35,9,161,8.75,6.34,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,12,16,8,165,8.83,4.5,1
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,127,41,5,198,5.39,18.59,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,140,50,3,218,6.69,16.8,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,156,97,10,182,6.78,9.65,1
Rajasthan Royals,Delhi Capitals,Delhi,80,57,8,153,6.95,8.42,1
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,130,111,10,143,8.67,7.03,0
Mumbai Indians,Kolkata Knight Riders,Bangalore,20,47,7,108,7.23,2.55,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,49,60,8,120,7.1,4.9,1
Sunrisers Hyderabad,Rajasthan Royals,Nagpur,133,103,9,160,9.53,7.75,0
Mumbai Indians,Chennai Super Kings,Delhi,174,100,9,193,5.7,10.44,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Johannesburg,53,41,6,144,6.91,7.76,0
Mumbai Indians,Kings XI Punjab,Chandigarh,71,13,1,183,6.28,32.77,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,64,10,0,179,6.27,38.4,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,140,75,8,208,9.07,11.2,0
Chennai Super Kings,Mumbai Indians,Mumbai,35,4,2,177,7.34,52.5,0
Sunrisers Hyderabad,Chennai Super Kings,Durban,34,23,6,166,8.16,8.87,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,29,16,7,180,8.71,10.88,1
Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,151,101,10,168,5.37,8.97,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,43,18,5,172,7.59,14.33,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,5,4,5,184,9.26,7.5,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,120,101,10,144,7.58,7.13,1
Chennai Super Kings,Rajasthan Royals,Kimberley,106,88,9,141,6.56,7.23,1
Mumbai Indians,Kings XI Punjab,Centurion,102,94,9,120,4.15,6.51,1
Kings XI Punjab,Sunrisers Hyderabad,Dharamsala,114,52,6,199,7.5,13.15,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,145,106,10,161,6.86,8.21,1
Kings XI Punjab,Sunrisers Hyderabad,Cuttack,140,83,7,171,5.03,10.12,0
Kings XI Punjab,Sunrisers Hyderabad,Mohali,21,10,7,159,7.53,12.6,1
Kings XI Punjab,Rajasthan Royals,Jaipur,49,10,2,192,7.8,29.4,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,68,40,6,175,8.02,10.2,1
Kolkata Knight Riders,Delhi Capitals,Delhi,64,1,1,224,8.07,384.0,0
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,162,94,8,206,10.15,10.34,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,60,25,7,198,8.72,14.4,0
Sunrisers Hyderabad,Chennai Super Kings,Visakhapatnam,146,79,8,194,7.02,11.09,0
Royal Challengers Bangalore,Delhi Capitals,Bangalore,113,66,10,184,7.89,10.27,0
Chennai Super Kings,Rajasthan Royals,Ahmedabad,65,32,7,178,7.7,12.19,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,136,108,8,150,7.0,7.56,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,146,109,10,165,10.36,8.04,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,135,85,9,191,9.6,9.53,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,146,112,10,156,7.5,7.82,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,18,6,4,209,10.05,18.0,0
Rajasthan Royals,Delhi Capitals,Jaipur,37,29,6,157,7.91,7.66,1
Chennai Super Kings,Delhi Capitals,Delhi,24,23,6,186,10.02,6.26,1
Mumbai Indians,Rajasthan Royals,Mumbai,30,46,7,104,6.0,3.91,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,143,79,9,185,6.15,10.86,0
Delhi Capitals,Royal Challengers Bangalore,Bangalore,35,12,4,158,6.83,17.5,0
Kings XI Punjab,Kolkata Knight Riders,Kolkata,213,111,10,224,7.33,11.51,0
Kings XI Punjab,Delhi Capitals,Delhi,111,91,10,165,11.17,7.32,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,170,108,10,186,8.0,9.44,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,30,21,6,186,9.45,8.57,0
Rajasthan Royals,Mumbai Indians,Jaipur,174,118,10,175,3.0,8.85,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,113,39,5,242,9.56,17.38,0
Mumbai Indians,Kolkata Knight Riders,Bangalore,53,70,7,108,6.6,4.54,1
Kings XI Punjab,Chennai Super Kings,Chennai,187,118,10,187,0.0,9.51,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,45,42,7,146,7.77,6.43,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,35,48,8,135,8.33,4.38,1
Sunrisers Hyderabad,Chennai Super Kings,Durban,100,89,10,166,12.77,6.74,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,57,14,2,199,8.04,24.43,0
Kolkata Knight Riders,Rajasthan Royals,Durban,38,33,4,102,4.41,6.91,1
Delhi Capitals,Sunrisers Hyderabad,Delhi,44,32,5,158,7.77,8.25,0
Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,130,108,10,148,9.0,7.22,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,103,97,10,135,8.35,6.37,1
Kings XI Punjab,Royal Challengers Bangalore,Durban,164,112,10,169,3.75,8.79,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,149,117,10,153,8.0,7.64,0
Kings XI Punjab,Chennai Super Kings,Chennai,181,118,10,182,3.0,9.2,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,87,87,10,147,10.91,6.0,1
Mumbai Indians,Rajasthan Royals,Durban,4,5,3,146,7.41,4.8,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,178,108,9,194,8.0,9.89,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,55,37,7,186,9.47,8.92,0
Delhi Capitals,Mumbai Indians,Centurion,111,87,9,166,10.0,7.66,0
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,67,27,5,182,7.42,14.89,0
Kings XI Punjab,Chennai Super Kings,Chandigarh,225,108,10,241,8.0,12.5,0
Sunrisers Hyderabad,Kolkata Knight Riders,Johannesburg,54,28,8,161,6.98,11.57,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,179,119,10,179,0.0,9.03,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,109,79,10,157,7.02,8.28,0
Rajasthan Royals,Kings XI Punjab,Chandigarh,193,89,8,222,5.61,13.01,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,100,57,7,166,6.29,10.53,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,31,59,8,159,12.59,3.15,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,67,22,4,186,7.29,18.27,0
Mumbai Indians,Kings XI Punjab,Mumbai,44,28,7,164,7.83,9.43,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,158,89,7,212,10.45,10.65,0
Rajasthan Royals,Mumbai Indians,Mumbai,55,73,10,134,10.09,4.52,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,61,20,4,164,6.18,18.3,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,86,51,9,180,8.17,10.12,0
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,192,114,10,197,5.0,10.11,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,141,83,9,215,12.0,10.19,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,144,106,9,160,6.86,8.15,1
Rajasthan Royals,Delhi Capitals,Delhi,26,21,7,153,7.7,7.43,1
Delhi Capitals,Kings XI Punjab,Delhi,41,33,8,169,8.83,7.45,1
